"location","target_end_date","target","output_type","output_type_id","oracle_value"
"HHS Region 1",2016-10-15,"ili perc","quantile",NA,0.661232
"HHS Region 1",2016-10-22,"ili perc","quantile",NA,0.728388
"HHS Region 1",2016-10-29,"ili perc","quantile",NA,0.729991
"HHS Region 1",2016-11-05,"ili perc","quantile",NA,0.930192
"HHS Region 1",2016-11-12,"ili perc","quantile",NA,0.875043
"HHS Region 1",2016-11-19,"ili perc","quantile",NA,0.905197
"HHS Region 1",2016-11-26,"ili perc","quantile",NA,0.975827
"HHS Region 1",2016-12-03,"ili perc","quantile",NA,0.872621
"HHS Region 1",2016-12-10,"ili perc","quantile",NA,0.940337
"HHS Region 1",2016-12-17,"ili perc","quantile",NA,1.04872
"HHS Region 1",2016-12-24,"ili perc","quantile",NA,1.16982
"HHS Region 1",2016-12-31,"ili perc","quantile",NA,1.41861
"HHS Region 1",2017-01-07,"ili perc","quantile",NA,1.57644
"HHS Region 1",2017-01-14,"ili perc","quantile",NA,1.52411
"HHS Region 1",2017-01-21,"ili perc","quantile",NA,1.73987
"HHS Region 1",2017-01-28,"ili perc","quantile",NA,2.06524
"HHS Region 1",2017-02-04,"ili perc","quantile",NA,2.51374
"HHS Region 1",2017-02-11,"ili perc","quantile",NA,3.19221
"HHS Region 1",2017-02-18,"ili perc","quantile",NA,3.02522
"HHS Region 1",2017-02-25,"ili perc","quantile",NA,3.04746
"HHS Region 1",2017-03-04,"ili perc","quantile",NA,2.24694
"HHS Region 1",2017-03-11,"ili perc","quantile",NA,2.12586
"HHS Region 1",2017-03-18,"ili perc","quantile",NA,2.12868
"HHS Region 1",2017-03-25,"ili perc","quantile",NA,1.93583
"HHS Region 1",2017-04-01,"ili perc","quantile",NA,2.00149
"HHS Region 1",2017-04-08,"ili perc","quantile",NA,2.21679
"HHS Region 1",2017-04-15,"ili perc","quantile",NA,1.79559
"HHS Region 1",2017-04-22,"ili perc","quantile",NA,1.53009
"HHS Region 1",2017-04-29,"ili perc","quantile",NA,1.11883
"HHS Region 1",2017-05-06,"ili perc","quantile",NA,0.926278
"HHS Region 1",2017-05-13,"ili perc","quantile",NA,0.737193
"HHS Region 1",2017-05-20,"ili perc","quantile",NA,0.664833
"HHS Region 1",2017-05-27,"ili perc","quantile",NA,0.563426
"HHS Region 1",2017-06-03,"ili perc","quantile",NA,0.519386
"HHS Region 1",2017-06-10,"ili perc","quantile",NA,0.420052
"HHS Region 1",2017-06-17,"ili perc","quantile",NA,0.407583
"HHS Region 1",2017-06-24,"ili perc","quantile",NA,0.387697
"HHS Region 1",2017-10-07,"ili perc","quantile",NA,0.719043
"HHS Region 1",2017-10-14,"ili perc","quantile",NA,0.802789
"HHS Region 1",2017-10-21,"ili perc","quantile",NA,0.816928
"HHS Region 1",2017-10-28,"ili perc","quantile",NA,0.976353
"HHS Region 1",2017-11-04,"ili perc","quantile",NA,0.954496
"HHS Region 1",2017-11-11,"ili perc","quantile",NA,1.08602
"HHS Region 1",2017-11-18,"ili perc","quantile",NA,1.19528
"HHS Region 1",2017-11-25,"ili perc","quantile",NA,1.60758
"HHS Region 1",2017-12-02,"ili perc","quantile",NA,1.54422
"HHS Region 1",2017-12-09,"ili perc","quantile",NA,1.66318
"HHS Region 1",2017-12-16,"ili perc","quantile",NA,1.80378
"HHS Region 1",2017-12-23,"ili perc","quantile",NA,2.25236
"HHS Region 1",2017-12-30,"ili perc","quantile",NA,2.84524
"HHS Region 1",2018-01-06,"ili perc","quantile",NA,2.94419
"HHS Region 1",2018-01-13,"ili perc","quantile",NA,2.88543
"HHS Region 1",2018-01-20,"ili perc","quantile",NA,3.74414
"HHS Region 1",2018-01-27,"ili perc","quantile",NA,4.33013
"HHS Region 1",2018-02-03,"ili perc","quantile",NA,5.23809
"HHS Region 1",2018-02-10,"ili perc","quantile",NA,5.81607
"HHS Region 1",2018-02-17,"ili perc","quantile",NA,5.31225
"HHS Region 1",2018-02-24,"ili perc","quantile",NA,4.44175
"HHS Region 1",2018-03-03,"ili perc","quantile",NA,3.44823
"HHS Region 1",2018-03-10,"ili perc","quantile",NA,2.5545
"HHS Region 1",2018-03-17,"ili perc","quantile",NA,2.44589
"HHS Region 1",2018-03-24,"ili perc","quantile",NA,2.08479
"HHS Region 1",2018-03-31,"ili perc","quantile",NA,2.17939
"HHS Region 1",2018-04-07,"ili perc","quantile",NA,2.02425
"HHS Region 1",2018-04-14,"ili perc","quantile",NA,1.89183
"HHS Region 1",2018-04-21,"ili perc","quantile",NA,1.73836
"HHS Region 1",2018-04-28,"ili perc","quantile",NA,1.48139
"HHS Region 1",2018-05-05,"ili perc","quantile",NA,1.32162
"HHS Region 1",2018-05-12,"ili perc","quantile",NA,0.971227
"HHS Region 1",2018-05-19,"ili perc","quantile",NA,0.934723
"HHS Region 1",2018-05-26,"ili perc","quantile",NA,0.754181
"HHS Region 1",2018-06-02,"ili perc","quantile",NA,0.650308
"HHS Region 1",2018-06-09,"ili perc","quantile",NA,0.604065
"HHS Region 1",2018-06-16,"ili perc","quantile",NA,0.492968
"HHS Region 1",2018-06-23,"ili perc","quantile",NA,0.629384
"HHS Region 1",2018-10-06,"ili perc","quantile",NA,1.04203
"HHS Region 1",2018-10-13,"ili perc","quantile",NA,1.09923
"HHS Region 1",2018-10-20,"ili perc","quantile",NA,1.13202
"HHS Region 1",2018-10-27,"ili perc","quantile",NA,1.20352
"HHS Region 1",2018-11-03,"ili perc","quantile",NA,1.20768
"HHS Region 1",2018-11-10,"ili perc","quantile",NA,1.36989
"HHS Region 1",2018-11-17,"ili perc","quantile",NA,1.3553
"HHS Region 1",2018-11-24,"ili perc","quantile",NA,1.59055
"HHS Region 1",2018-12-01,"ili perc","quantile",NA,1.44922
"HHS Region 1",2018-12-08,"ili perc","quantile",NA,1.87028
"HHS Region 1",2018-12-15,"ili perc","quantile",NA,1.88067
"HHS Region 1",2018-12-22,"ili perc","quantile",NA,2.41406
"HHS Region 1",2018-12-29,"ili perc","quantile",NA,3.29641
"HHS Region 1",2019-01-05,"ili perc","quantile",NA,3.18381
"HHS Region 1",2019-01-12,"ili perc","quantile",NA,3.43213
"HHS Region 1",2019-01-19,"ili perc","quantile",NA,3.56478
"HHS Region 1",2019-01-26,"ili perc","quantile",NA,3.58856
"HHS Region 1",2019-02-02,"ili perc","quantile",NA,3.60986
"HHS Region 1",2019-02-09,"ili perc","quantile",NA,3.9159
"HHS Region 1",2019-02-16,"ili perc","quantile",NA,3.73721
"HHS Region 1",2019-02-23,"ili perc","quantile",NA,3.6294
"HHS Region 1",2019-03-02,"ili perc","quantile",NA,3.21475
"HHS Region 1",2019-03-09,"ili perc","quantile",NA,3.0963
"HHS Region 1",2019-03-16,"ili perc","quantile",NA,2.77996
"HHS Region 1",2019-03-23,"ili perc","quantile",NA,2.78355
"HHS Region 1",2019-03-30,"ili perc","quantile",NA,2.83075
"HHS Region 1",2019-04-06,"ili perc","quantile",NA,2.53461
"HHS Region 1",2019-04-13,"ili perc","quantile",NA,2.34444
"HHS Region 1",2019-04-20,"ili perc","quantile",NA,2.09423
"HHS Region 1",2019-04-27,"ili perc","quantile",NA,1.53044
"HHS Region 1",2019-05-04,"ili perc","quantile",NA,1.32136
"HHS Region 1",2019-05-11,"ili perc","quantile",NA,1.1984
"HHS Region 1",2019-05-18,"ili perc","quantile",NA,1.25067
"HHS Region 1",2019-05-25,"ili perc","quantile",NA,0.925374
"HHS Region 1",2019-06-01,"ili perc","quantile",NA,1.02022
"HHS Region 1",2019-06-08,"ili perc","quantile",NA,0.72752
"HHS Region 1",2019-06-15,"ili perc","quantile",NA,0.577154
"HHS Region 1",2019-06-22,"ili perc","quantile",NA,0.465939
"HHS Region 1",2019-10-05,"ili perc","quantile",NA,0.892224
"HHS Region 1",2019-10-12,"ili perc","quantile",NA,1.00194
"HHS Region 1",2019-10-19,"ili perc","quantile",NA,1.10858
"HHS Region 1",2019-10-26,"ili perc","quantile",NA,1.08702
"HHS Region 1",2019-11-02,"ili perc","quantile",NA,1.13812
"HHS Region 1",2019-11-09,"ili perc","quantile",NA,1.29227
"HHS Region 1",2019-11-16,"ili perc","quantile",NA,1.38714
"HHS Region 1",2019-11-23,"ili perc","quantile",NA,1.49625
"HHS Region 1",2019-11-30,"ili perc","quantile",NA,1.79568
"HHS Region 1",2019-12-07,"ili perc","quantile",NA,1.81736
"HHS Region 1",2019-12-14,"ili perc","quantile",NA,1.89441
"HHS Region 1",2019-12-21,"ili perc","quantile",NA,2.48714
"HHS Region 1",2019-12-28,"ili perc","quantile",NA,3.72534
"HHS Region 1",2020-01-04,"ili perc","quantile",NA,3.92411
"HHS Region 1",2020-01-11,"ili perc","quantile",NA,3.70127
"HHS Region 1",2020-01-18,"ili perc","quantile",NA,4.4928
"HHS Region 1",2020-01-25,"ili perc","quantile",NA,5.30744
"HHS Region 1",2020-02-01,"ili perc","quantile",NA,6.43852
"HHS Region 1",2020-02-08,"ili perc","quantile",NA,7.15259
"HHS Region 1",2020-02-15,"ili perc","quantile",NA,6.45158
"HHS Region 1",2020-02-22,"ili perc","quantile",NA,5.68763
"HHS Region 1",2020-02-29,"ili perc","quantile",NA,4.59607
"HHS Region 1",2020-03-07,"ili perc","quantile",NA,4.28004
"HHS Region 1",2020-03-14,"ili perc","quantile",NA,4.84045
"HHS Region 1",2020-03-21,"ili perc","quantile",NA,5.88851
"HHS Region 1",2020-03-28,"ili perc","quantile",NA,4.80766
"HHS Region 1",2020-04-04,"ili perc","quantile",NA,4.34576
"HHS Region 1",2020-04-11,"ili perc","quantile",NA,3.38279
"HHS Region 1",2020-04-18,"ili perc","quantile",NA,3.05959
"HHS Region 1",2020-04-25,"ili perc","quantile",NA,2.10572
"HHS Region 1",2020-05-02,"ili perc","quantile",NA,1.65688
"HHS Region 1",2020-05-09,"ili perc","quantile",NA,1.33543
"HHS Region 1",2020-05-16,"ili perc","quantile",NA,1.22148
"HHS Region 1",2020-05-23,"ili perc","quantile",NA,0.930899
"HHS Region 1",2020-05-30,"ili perc","quantile",NA,0.739742
"HHS Region 1",2020-06-06,"ili perc","quantile",NA,0.671721
"HHS Region 1",2020-06-13,"ili perc","quantile",NA,0.604255
"HHS Region 1",2020-06-20,"ili perc","quantile",NA,0.516871
"HHS Region 10",2015-10-03,"ili perc","quantile",NA,0.629231
"HHS Region 10",2015-10-10,"ili perc","quantile",NA,0.497072
"HHS Region 10",2015-10-17,"ili perc","quantile",NA,0.756054
"HHS Region 10",2015-10-24,"ili perc","quantile",NA,0.550018
"HHS Region 10",2015-10-31,"ili perc","quantile",NA,0.853014
"HHS Region 10",2015-11-07,"ili perc","quantile",NA,0.526763
"HHS Region 10",2015-11-14,"ili perc","quantile",NA,0.891904
"HHS Region 10",2015-11-21,"ili perc","quantile",NA,0.694108
"HHS Region 10",2015-11-28,"ili perc","quantile",NA,0.82039
"HHS Region 10",2015-12-05,"ili perc","quantile",NA,0.812498
"HHS Region 10",2015-12-12,"ili perc","quantile",NA,0.594886
"HHS Region 10",2015-12-19,"ili perc","quantile",NA,0.658719
"HHS Region 10",2015-12-26,"ili perc","quantile",NA,0.66188
"HHS Region 10",2016-01-02,"ili perc","quantile",NA,0.791975
"HHS Region 10",2016-01-09,"ili perc","quantile",NA,0.888661
"HHS Region 10",2016-01-16,"ili perc","quantile",NA,1.07718
"HHS Region 10",2016-01-23,"ili perc","quantile",NA,1.3789
"HHS Region 10",2016-01-30,"ili perc","quantile",NA,1.41403
"HHS Region 10",2016-02-06,"ili perc","quantile",NA,1.65259
"HHS Region 10",2016-02-13,"ili perc","quantile",NA,1.73793
"HHS Region 10",2016-02-20,"ili perc","quantile",NA,2.44289
"HHS Region 10",2016-02-27,"ili perc","quantile",NA,2.13499
"HHS Region 10",2016-03-05,"ili perc","quantile",NA,1.98941
"HHS Region 10",2016-03-12,"ili perc","quantile",NA,2.21239
"HHS Region 10",2016-03-19,"ili perc","quantile",NA,2.17566
"HHS Region 10",2016-03-26,"ili perc","quantile",NA,1.707
"HHS Region 10",2016-04-02,"ili perc","quantile",NA,1.78067
"HHS Region 10",2016-04-09,"ili perc","quantile",NA,1.70384
"HHS Region 10",2016-04-16,"ili perc","quantile",NA,0.996878
"HHS Region 10",2016-04-23,"ili perc","quantile",NA,0.798597
"HHS Region 10",2016-04-30,"ili perc","quantile",NA,0.749227
"HHS Region 10",2016-05-07,"ili perc","quantile",NA,0.945067
"HHS Region 10",2016-05-14,"ili perc","quantile",NA,0.530758
"HHS Region 10",2016-05-21,"ili perc","quantile",NA,0.531652
"HHS Region 10",2016-05-28,"ili perc","quantile",NA,0.211921
"HHS Region 10",2016-06-04,"ili perc","quantile",NA,0.19528
"HHS Region 10",2016-06-11,"ili perc","quantile",NA,0.272009
"HHS Region 10",2016-06-18,"ili perc","quantile",NA,0.345166
"HHS Region 10",2016-06-25,"ili perc","quantile",NA,0.258534
"HHS Region 10",2016-10-01,"ili perc","quantile",NA,0.271021
"HHS Region 10",2016-10-08,"ili perc","quantile",NA,0.439119
"HHS Region 10",2016-10-15,"ili perc","quantile",NA,0.427974
"HHS Region 10",2016-10-22,"ili perc","quantile",NA,0.489575
"HHS Region 10",2016-10-29,"ili perc","quantile",NA,0.529992
"HHS Region 10",2016-11-05,"ili perc","quantile",NA,0.573751
"HHS Region 10",2016-11-12,"ili perc","quantile",NA,0.737088
"HHS Region 10",2016-11-19,"ili perc","quantile",NA,0.643705
"HHS Region 10",2016-11-26,"ili perc","quantile",NA,0.789485
"HHS Region 10",2016-12-03,"ili perc","quantile",NA,0.775045
"HHS Region 10",2016-12-10,"ili perc","quantile",NA,0.693141
"HHS Region 10",2016-12-17,"ili perc","quantile",NA,1.50325
"HHS Region 10",2016-12-24,"ili perc","quantile",NA,2.05831
"HHS Region 10",2016-12-31,"ili perc","quantile",NA,3.67061
"HHS Region 10",2017-01-07,"ili perc","quantile",NA,3.02313
"HHS Region 10",2017-01-14,"ili perc","quantile",NA,2.15197
"HHS Region 10",2017-01-21,"ili perc","quantile",NA,3.25108
"HHS Region 10",2017-01-28,"ili perc","quantile",NA,2.51434
"HHS Region 10",2017-02-04,"ili perc","quantile",NA,2.28634
"HHS Region 10",2017-02-11,"ili perc","quantile",NA,2.00447
"HHS Region 10",2017-02-18,"ili perc","quantile",NA,1.77728
"HHS Region 10",2017-02-25,"ili perc","quantile",NA,1.51737
"HHS Region 10",2017-03-04,"ili perc","quantile",NA,1.46199
"HHS Region 10",2017-03-11,"ili perc","quantile",NA,0.952098
"HHS Region 10",2017-03-18,"ili perc","quantile",NA,1.26965
"HHS Region 10",2017-03-25,"ili perc","quantile",NA,0.916475
"HHS Region 10",2017-04-01,"ili perc","quantile",NA,0.910264
"HHS Region 10",2017-04-08,"ili perc","quantile",NA,0.796512
"HHS Region 10",2017-04-15,"ili perc","quantile",NA,0.672532
"HHS Region 10",2017-04-22,"ili perc","quantile",NA,0.594078
"HHS Region 10",2017-04-29,"ili perc","quantile",NA,0.47098
"HHS Region 10",2017-05-06,"ili perc","quantile",NA,0.715131
"HHS Region 10",2017-05-13,"ili perc","quantile",NA,0.532669
"HHS Region 10",2017-05-20,"ili perc","quantile",NA,0.61906
"HHS Region 10",2017-05-27,"ili perc","quantile",NA,0.279232
"HHS Region 10",2017-06-03,"ili perc","quantile",NA,0.369005
"HHS Region 10",2017-06-10,"ili perc","quantile",NA,0.267241
"HHS Region 10",2017-06-17,"ili perc","quantile",NA,0.305938
"HHS Region 10",2017-06-24,"ili perc","quantile",NA,0.398308
"HHS Region 10",2017-10-07,"ili perc","quantile",NA,0.520871
"HHS Region 10",2017-10-14,"ili perc","quantile",NA,0.63234
"HHS Region 10",2017-10-21,"ili perc","quantile",NA,0.799399
"HHS Region 10",2017-10-28,"ili perc","quantile",NA,0.706956
"HHS Region 10",2017-11-04,"ili perc","quantile",NA,0.956682
"HHS Region 10",2017-11-11,"ili perc","quantile",NA,1.00098
"HHS Region 10",2017-11-18,"ili perc","quantile",NA,0.929811
"HHS Region 10",2017-11-25,"ili perc","quantile",NA,1.25088
"HHS Region 10",2017-12-02,"ili perc","quantile",NA,1.20543
"HHS Region 10",2017-12-09,"ili perc","quantile",NA,1.11517
"HHS Region 10",2017-12-16,"ili perc","quantile",NA,1.30968
"HHS Region 10",2017-12-23,"ili perc","quantile",NA,2.15611
"HHS Region 10",2017-12-30,"ili perc","quantile",NA,4.34775
"HHS Region 10",2018-01-06,"ili perc","quantile",NA,4.78676
"HHS Region 10",2018-01-13,"ili perc","quantile",NA,4.15034
"HHS Region 10",2018-01-20,"ili perc","quantile",NA,3.86796
"HHS Region 10",2018-01-27,"ili perc","quantile",NA,3.99004
"HHS Region 10",2018-02-03,"ili perc","quantile",NA,3.68608
"HHS Region 10",2018-02-10,"ili perc","quantile",NA,2.95199
"HHS Region 10",2018-02-17,"ili perc","quantile",NA,2.70056
"HHS Region 10",2018-02-24,"ili perc","quantile",NA,2.7734
"HHS Region 10",2018-03-03,"ili perc","quantile",NA,2.38842
"HHS Region 10",2018-03-10,"ili perc","quantile",NA,1.95807
"HHS Region 10",2018-03-17,"ili perc","quantile",NA,2.48795
"HHS Region 10",2018-03-24,"ili perc","quantile",NA,2.22123
"HHS Region 10",2018-03-31,"ili perc","quantile",NA,1.88171
"HHS Region 10",2018-04-07,"ili perc","quantile",NA,1.68484
"HHS Region 10",2018-04-14,"ili perc","quantile",NA,1.1595
"HHS Region 10",2018-04-21,"ili perc","quantile",NA,1.07042
"HHS Region 10",2018-04-28,"ili perc","quantile",NA,0.742763
"HHS Region 10",2018-05-05,"ili perc","quantile",NA,0.753799
"HHS Region 10",2018-05-12,"ili perc","quantile",NA,0.735167
"HHS Region 10",2018-05-19,"ili perc","quantile",NA,0.624926
"HHS Region 10",2018-05-26,"ili perc","quantile",NA,0.547264
"HHS Region 10",2018-06-02,"ili perc","quantile",NA,0.43104
"HHS Region 10",2018-06-09,"ili perc","quantile",NA,0.487598
"HHS Region 10",2018-06-16,"ili perc","quantile",NA,0.46094
"HHS Region 10",2018-06-23,"ili perc","quantile",NA,0.427361
"HHS Region 10",2018-10-06,"ili perc","quantile",NA,0.578762
"HHS Region 10",2018-10-13,"ili perc","quantile",NA,0.662063
"HHS Region 10",2018-10-20,"ili perc","quantile",NA,0.55549
"HHS Region 10",2018-10-27,"ili perc","quantile",NA,0.601457
"HHS Region 10",2018-11-03,"ili perc","quantile",NA,0.653545
"HHS Region 10",2018-11-10,"ili perc","quantile",NA,0.729821
"HHS Region 10",2018-11-17,"ili perc","quantile",NA,0.895721
"HHS Region 10",2018-11-24,"ili perc","quantile",NA,1.01564
"HHS Region 10",2018-12-01,"ili perc","quantile",NA,0.911587
"HHS Region 10",2018-12-08,"ili perc","quantile",NA,0.915972
"HHS Region 10",2018-12-15,"ili perc","quantile",NA,1.0552
"HHS Region 10",2018-12-22,"ili perc","quantile",NA,1.19609
"HHS Region 10",2018-12-29,"ili perc","quantile",NA,1.64264
"HHS Region 10",2019-01-05,"ili perc","quantile",NA,1.68617
"HHS Region 10",2019-01-12,"ili perc","quantile",NA,1.5756
"HHS Region 10",2019-01-19,"ili perc","quantile",NA,1.77233
"HHS Region 10",2019-01-26,"ili perc","quantile",NA,2.18975
"HHS Region 10",2019-02-02,"ili perc","quantile",NA,2.54886
"HHS Region 10",2019-02-09,"ili perc","quantile",NA,3.03255
"HHS Region 10",2019-02-16,"ili perc","quantile",NA,3.49716
"HHS Region 10",2019-02-23,"ili perc","quantile",NA,3.15417
"HHS Region 10",2019-03-02,"ili perc","quantile",NA,3.00456
"HHS Region 10",2019-03-09,"ili perc","quantile",NA,3.52803
"HHS Region 10",2019-03-16,"ili perc","quantile",NA,4.31716
"HHS Region 10",2019-03-23,"ili perc","quantile",NA,3.75357
"HHS Region 10",2019-03-30,"ili perc","quantile",NA,2.41805
"HHS Region 10",2019-04-06,"ili perc","quantile",NA,1.61843
"HHS Region 10",2019-04-13,"ili perc","quantile",NA,1.04057
"HHS Region 10",2019-04-20,"ili perc","quantile",NA,0.993068
"HHS Region 10",2019-04-27,"ili perc","quantile",NA,0.879525
"HHS Region 10",2019-05-04,"ili perc","quantile",NA,0.892764
"HHS Region 10",2019-05-11,"ili perc","quantile",NA,0.807694
"HHS Region 10",2019-05-18,"ili perc","quantile",NA,0.652629
"HHS Region 10",2019-05-25,"ili perc","quantile",NA,0.633446
"HHS Region 10",2019-06-01,"ili perc","quantile",NA,0.821311
"HHS Region 10",2019-06-08,"ili perc","quantile",NA,0.569222
"HHS Region 10",2019-06-15,"ili perc","quantile",NA,0.437698
"HHS Region 10",2019-06-22,"ili perc","quantile",NA,0.40106
"HHS Region 10",2019-10-05,"ili perc","quantile",NA,0.965331
"HHS Region 10",2019-10-12,"ili perc","quantile",NA,1.14082
"HHS Region 10",2019-10-19,"ili perc","quantile",NA,1.1863
"HHS Region 10",2019-10-26,"ili perc","quantile",NA,1.08054
"HHS Region 10",2019-11-02,"ili perc","quantile",NA,1.22242
"HHS Region 10",2019-11-09,"ili perc","quantile",NA,1.32442
"HHS Region 10",2019-11-16,"ili perc","quantile",NA,1.44765
"HHS Region 10",2019-11-23,"ili perc","quantile",NA,2.22542
"HHS Region 10",2019-11-30,"ili perc","quantile",NA,2.76215
"HHS Region 10",2019-12-07,"ili perc","quantile",NA,3.34417
"HHS Region 10",2019-12-14,"ili perc","quantile",NA,4.48523
"HHS Region 10",2019-12-21,"ili perc","quantile",NA,5.75694
"HHS Region 10",2019-12-28,"ili perc","quantile",NA,7.20584
"HHS Region 10",2020-01-04,"ili perc","quantile",NA,5.70858
"HHS Region 10",2020-01-11,"ili perc","quantile",NA,4.09724
"HHS Region 10",2020-01-18,"ili perc","quantile",NA,3.58253
"HHS Region 10",2020-01-25,"ili perc","quantile",NA,3.8196
"HHS Region 10",2020-02-01,"ili perc","quantile",NA,3.89226
"HHS Region 10",2020-02-08,"ili perc","quantile",NA,3.51263
"HHS Region 10",2020-02-15,"ili perc","quantile",NA,3.44896
"HHS Region 10",2020-02-22,"ili perc","quantile",NA,3.59175
"HHS Region 10",2020-02-29,"ili perc","quantile",NA,3.92614
"HHS Region 10",2020-03-07,"ili perc","quantile",NA,5.59416
"HHS Region 10",2020-03-14,"ili perc","quantile",NA,5.81769
"HHS Region 10",2020-03-21,"ili perc","quantile",NA,5.86867
"HHS Region 10",2020-03-28,"ili perc","quantile",NA,4.34456
"HHS Region 10",2020-04-04,"ili perc","quantile",NA,3.11345
"HHS Region 10",2020-04-11,"ili perc","quantile",NA,2.10689
"HHS Region 10",2020-04-18,"ili perc","quantile",NA,1.75622
"HHS Region 10",2020-04-25,"ili perc","quantile",NA,1.70239
"HHS Region 10",2020-05-02,"ili perc","quantile",NA,1.21659
"HHS Region 10",2020-05-09,"ili perc","quantile",NA,1.16103
"HHS Region 10",2020-05-16,"ili perc","quantile",NA,1.11003
"HHS Region 10",2020-05-23,"ili perc","quantile",NA,0.617955
"HHS Region 10",2020-05-30,"ili perc","quantile",NA,0.943178
"HHS Region 10",2020-06-06,"ili perc","quantile",NA,0.67709
"HHS Region 10",2020-06-13,"ili perc","quantile",NA,0.66963
"HHS Region 10",2020-06-20,"ili perc","quantile",NA,0.472816
"HHS Region 2",2015-10-03,"ili perc","quantile",NA,1.30017
"HHS Region 2",2015-10-10,"ili perc","quantile",NA,1.08224
"HHS Region 2",2015-10-17,"ili perc","quantile",NA,0.948605
"HHS Region 2",2015-10-24,"ili perc","quantile",NA,1.23018
"HHS Region 2",2015-10-31,"ili perc","quantile",NA,1.10278
"HHS Region 2",2015-11-07,"ili perc","quantile",NA,1.21684
"HHS Region 2",2015-11-14,"ili perc","quantile",NA,1.07336
"HHS Region 2",2015-11-21,"ili perc","quantile",NA,1.3633
"HHS Region 2",2015-11-28,"ili perc","quantile",NA,1.35069
"HHS Region 2",2015-12-05,"ili perc","quantile",NA,1.57092
"HHS Region 2",2015-12-12,"ili perc","quantile",NA,1.86092
"HHS Region 2",2015-12-19,"ili perc","quantile",NA,1.74541
"HHS Region 2",2015-12-26,"ili perc","quantile",NA,2.29498
"HHS Region 2",2016-01-02,"ili perc","quantile",NA,2.30133
"HHS Region 2",2016-01-09,"ili perc","quantile",NA,1.77591
"HHS Region 2",2016-01-16,"ili perc","quantile",NA,2.37764
"HHS Region 2",2016-01-23,"ili perc","quantile",NA,2.18428
"HHS Region 2",2016-01-30,"ili perc","quantile",NA,2.32815
"HHS Region 2",2016-02-06,"ili perc","quantile",NA,2.50124
"HHS Region 2",2016-02-13,"ili perc","quantile",NA,3.22646
"HHS Region 2",2016-02-20,"ili perc","quantile",NA,2.76832
"HHS Region 2",2016-02-27,"ili perc","quantile",NA,3.17342
"HHS Region 2",2016-03-05,"ili perc","quantile",NA,3.69477
"HHS Region 2",2016-03-12,"ili perc","quantile",NA,4.01357
"HHS Region 2",2016-03-19,"ili perc","quantile",NA,4.08017
"HHS Region 2",2016-03-26,"ili perc","quantile",NA,3.34507
