"location","target_end_date","target","observation","as_of"
"HHS Region 6",2015-10-03,"ili perc",2.45782,2015-10-17
"HHS Region 6",2015-10-10,"ili perc",2.95668,2015-10-17
"HHS Region 6",2015-10-17,"ili perc",2.92803,2015-10-17
"HHS Region 7",2015-08-01,"ili perc",0.214156,2015-10-17
"HHS Region 7",2015-08-08,"ili perc",0.281667,2015-10-17
"HHS Region 7",2015-08-15,"ili perc",0.116572,2015-10-17
"HHS Region 7",2015-08-22,"ili perc",0.287188,2015-10-17
"HHS Region 7",2015-08-29,"ili perc",0.21827,2015-10-17
"HHS Region 7",2015-09-05,"ili perc",0.181003,2015-10-17
"HHS Region 7",2015-09-12,"ili perc",0.322751,2015-10-17
"HHS Region 7",2015-09-19,"ili perc",0.554689,2015-10-17
"HHS Region 7",2015-09-26,"ili perc",0.775712,2015-10-17
"HHS Region 7",2015-10-03,"ili perc",1.12889,2015-10-17
"HHS Region 7",2015-10-10,"ili perc",1.08365,2015-10-17
"HHS Region 7",2015-10-17,"ili perc",1.4349,2015-10-17
"HHS Region 8",2015-08-01,"ili perc",0.469566,2015-10-17
"HHS Region 8",2015-08-08,"ili perc",0.486867,2015-10-17
"HHS Region 8",2015-08-15,"ili perc",0.40949,2015-10-17
"HHS Region 8",2015-08-22,"ili perc",0.388013,2015-10-17
"HHS Region 8",2015-08-29,"ili perc",0.563506,2015-10-17
"HHS Region 8",2015-09-05,"ili perc",0.481207,2015-10-17
"HHS Region 8",2015-09-12,"ili perc",0.457837,2015-10-17
"HHS Region 8",2015-09-19,"ili perc",0.467552,2015-10-17
"HHS Region 8",2015-09-26,"ili perc",0.625008,2015-10-17
"HHS Region 8",2015-10-03,"ili perc",0.499494,2015-10-17
"HHS Region 8",2015-10-10,"ili perc",0.650993,2015-10-17
"HHS Region 8",2015-10-17,"ili perc",0.679716,2015-10-17
"HHS Region 9",2015-08-01,"ili perc",0.874506,2015-10-17
"HHS Region 9",2015-08-08,"ili perc",0.955258,2015-10-17
"HHS Region 9",2015-08-15,"ili perc",0.91683,2015-10-17
"HHS Region 9",2015-08-22,"ili perc",1.04354,2015-10-17
"HHS Region 9",2015-08-29,"ili perc",1.11664,2015-10-17
"HHS Region 9",2015-09-05,"ili perc",1.07914,2015-10-17
"HHS Region 9",2015-09-12,"ili perc",0.828299,2015-10-17
"HHS Region 9",2015-09-19,"ili perc",1.21251,2015-10-17
"HHS Region 9",2015-09-26,"ili perc",1.2634,2015-10-17
"HHS Region 9",2015-10-03,"ili perc",1.21447,2015-10-17
"HHS Region 9",2015-10-10,"ili perc",1.15987,2015-10-17
"HHS Region 9",2015-10-17,"ili perc",1.52669,2015-10-17
"HHS Region 10",2015-08-01,"ili perc",0.273285,2015-10-17
"HHS Region 10",2015-08-08,"ili perc",0.277682,2015-10-17
"HHS Region 10",2015-08-15,"ili perc",0.176249,2015-10-17
"HHS Region 10",2015-08-22,"ili perc",0.233461,2015-10-17
"HHS Region 10",2015-08-29,"ili perc",0.129447,2015-10-17
"HHS Region 10",2015-09-05,"ili perc",0.409017,2015-10-17
"HHS Region 10",2015-09-12,"ili perc",0.545922,2015-10-17
"HHS Region 10",2015-09-19,"ili perc",0.500789,2015-10-17
"HHS Region 10",2015-09-26,"ili perc",0.507331,2015-10-17
"HHS Region 10",2015-10-03,"ili perc",0.61661,2015-10-17
"HHS Region 10",2015-10-10,"ili perc",0.390608,2015-10-17
"HHS Region 10",2015-10-17,"ili perc",0.807168,2015-10-17
"US National",2015-08-01,"ili perc",0.778557,2015-10-24
"US National",2015-08-08,"ili perc",0.788065,2015-10-24
"US National",2015-08-15,"ili perc",0.835725,2015-10-24
"US National",2015-08-22,"ili perc",0.857583,2015-10-24
"US National",2015-08-29,"ili perc",0.863789,2015-10-24
"US National",2015-09-05,"ili perc",0.92465,2015-10-24
"US National",2015-09-12,"ili perc",0.967872,2015-10-24
"US National",2015-09-19,"ili perc",1.09711,2015-10-24
"US National",2015-09-26,"ili perc",1.15614,2015-10-24
"US National",2015-10-03,"ili perc",1.17014,2015-10-24
"US National",2015-10-10,"ili perc",1.27972,2015-10-24
"US National",2015-10-17,"ili perc",1.35722,2015-10-24
"US National",2015-10-24,"ili perc",1.3467,2015-10-24
"HHS Region 1",2015-08-01,"ili perc",0.356937,2015-10-24
"HHS Region 1",2015-08-08,"ili perc",0.36071,2015-10-24
"HHS Region 1",2015-08-15,"ili perc",0.384903,2015-10-24
"HHS Region 1",2015-08-22,"ili perc",0.362232,2015-10-24
"HHS Region 1",2015-08-29,"ili perc",0.401994,2015-10-24
"HHS Region 1",2015-09-05,"ili perc",0.381446,2015-10-24
"HHS Region 1",2015-09-12,"ili perc",0.456894,2015-10-24
"HHS Region 1",2015-09-19,"ili perc",0.463827,2015-10-24
"HHS Region 1",2015-09-26,"ili perc",0.402616,2015-10-24
"HHS Region 1",2015-10-03,"ili perc",0.410348,2015-10-24
"HHS Region 1",2015-10-10,"ili perc",0.719462,2015-10-24
"HHS Region 1",2015-10-17,"ili perc",0.643871,2015-10-24
"HHS Region 1",2015-10-24,"ili perc",0.787999,2015-10-24
"HHS Region 2",2015-08-01,"ili perc",1.36223,2015-10-24
"HHS Region 2",2015-08-08,"ili perc",1.57157,2015-10-24
"HHS Region 2",2015-08-15,"ili perc",1.38907,2015-10-24
"HHS Region 2",2015-08-22,"ili perc",1.11843,2015-10-24
"HHS Region 2",2015-08-29,"ili perc",1.12344,2015-10-24
"HHS Region 2",2015-09-05,"ili perc",1.23609,2015-10-24
"HHS Region 2",2015-09-12,"ili perc",1.19069,2015-10-24
"HHS Region 2",2015-09-19,"ili perc",1.44976,2015-10-24
"HHS Region 2",2015-09-26,"ili perc",1.67527,2015-10-24
"HHS Region 2",2015-10-03,"ili perc",1.38138,2015-10-24
"HHS Region 2",2015-10-10,"ili perc",1.15793,2015-10-24
"HHS Region 2",2015-10-17,"ili perc",1.10441,2015-10-24
"HHS Region 2",2015-10-24,"ili perc",1.6948,2015-10-24
"HHS Region 3",2015-08-01,"ili perc",0.959529,2015-10-24
"HHS Region 3",2015-08-08,"ili perc",0.890565,2015-10-24
"HHS Region 3",2015-08-15,"ili perc",1.00206,2015-10-24
"HHS Region 3",2015-08-22,"ili perc",0.952584,2015-10-24
"HHS Region 3",2015-08-29,"ili perc",0.81983,2015-10-24
"HHS Region 3",2015-09-05,"ili perc",1.08942,2015-10-24
"HHS Region 3",2015-09-12,"ili perc",1.14302,2015-10-24
"HHS Region 3",2015-09-19,"ili perc",1.19949,2015-10-24
"HHS Region 3",2015-09-26,"ili perc",1.24271,2015-10-24
"HHS Region 3",2015-10-03,"ili perc",1.12201,2015-10-24
"HHS Region 3",2015-10-10,"ili perc",1.16619,2015-10-24
"HHS Region 3",2015-10-17,"ili perc",1.24064,2015-10-24
"HHS Region 3",2015-10-24,"ili perc",1.5445,2015-10-24
"HHS Region 4",2015-08-01,"ili perc",0.456488,2015-10-24
"HHS Region 4",2015-08-08,"ili perc",0.45738,2015-10-24
"HHS Region 4",2015-08-15,"ili perc",0.715868,2015-10-24
"HHS Region 4",2015-08-22,"ili perc",0.74246,2015-10-24
"HHS Region 4",2015-08-29,"ili perc",0.823904,2015-10-24
"HHS Region 4",2015-09-05,"ili perc",0.74564,2015-10-24
"HHS Region 4",2015-09-12,"ili perc",0.715931,2015-10-24
"HHS Region 4",2015-09-19,"ili perc",0.842332,2015-10-24
"HHS Region 4",2015-09-26,"ili perc",0.762538,2015-10-24
"HHS Region 4",2015-10-03,"ili perc",0.887591,2015-10-24
"HHS Region 4",2015-10-10,"ili perc",1.22549,2015-10-24
"HHS Region 4",2015-10-17,"ili perc",1.32102,2015-10-24
"HHS Region 4",2015-10-24,"ili perc",1.06533,2015-10-24
"HHS Region 5",2015-08-01,"ili perc",0.581547,2015-10-24
"HHS Region 5",2015-08-08,"ili perc",0.585049,2015-10-24
"HHS Region 5",2015-08-15,"ili perc",0.597183,2015-10-24
"HHS Region 5",2015-08-22,"ili perc",0.581645,2015-10-24
"HHS Region 5",2015-08-29,"ili perc",0.659672,2015-10-24
"HHS Region 5",2015-09-05,"ili perc",0.615018,2015-10-24
"HHS Region 5",2015-09-12,"ili perc",0.653839,2015-10-24
"HHS Region 5",2015-09-19,"ili perc",0.725852,2015-10-24
"HHS Region 5",2015-09-26,"ili perc",0.808302,2015-10-24
"HHS Region 5",2015-10-03,"ili perc",0.86805,2015-10-24
"HHS Region 5",2015-10-10,"ili perc",0.912269,2015-10-24
"HHS Region 5",2015-10-17,"ili perc",1.02125,2015-10-24
"HHS Region 5",2015-10-24,"ili perc",0.903157,2015-10-24
"HHS Region 6",2015-08-01,"ili perc",1.31115,2015-10-24
"HHS Region 6",2015-08-08,"ili perc",1.23758,2015-10-24
"HHS Region 6",2015-08-15,"ili perc",1.22844,2015-10-24
"HHS Region 6",2015-08-22,"ili perc",1.54875,2015-10-24
"HHS Region 6",2015-08-29,"ili perc",1.3046,2015-10-24
"HHS Region 6",2015-09-05,"ili perc",1.68028,2015-10-24
"HHS Region 6",2015-09-12,"ili perc",2.20774,2015-10-24
"HHS Region 6",2015-09-19,"ili perc",2.14646,2015-10-24
"HHS Region 6",2015-09-26,"ili perc",2.32181,2015-10-24
"HHS Region 6",2015-10-03,"ili perc",2.49805,2015-10-24
"HHS Region 6",2015-10-10,"ili perc",2.94535,2015-10-24
"HHS Region 6",2015-10-17,"ili perc",2.97074,2015-10-24
"HHS Region 6",2015-10-24,"ili perc",3.08051,2015-10-24
"HHS Region 7",2015-08-01,"ili perc",0.214156,2015-10-24
"HHS Region 7",2015-08-08,"ili perc",0.281667,2015-10-24
"HHS Region 7",2015-08-15,"ili perc",0.116572,2015-10-24
"HHS Region 7",2015-08-22,"ili perc",0.287188,2015-10-24
"HHS Region 7",2015-08-29,"ili perc",0.21827,2015-10-24
"HHS Region 7",2015-09-05,"ili perc",0.181003,2015-10-24
"HHS Region 7",2015-09-12,"ili perc",0.322751,2015-10-24
"HHS Region 7",2015-09-19,"ili perc",0.554689,2015-10-24
"HHS Region 7",2015-09-26,"ili perc",0.775712,2015-10-24
"HHS Region 7",2015-10-03,"ili perc",1.12889,2015-10-24
"HHS Region 7",2015-10-10,"ili perc",0.887014,2015-10-24
"HHS Region 7",2015-10-17,"ili perc",0.953243,2015-10-24
"HHS Region 7",2015-10-24,"ili perc",1.20233,2015-10-24
"HHS Region 8",2015-08-01,"ili perc",0.469566,2015-10-24
"HHS Region 8",2015-08-08,"ili perc",0.486867,2015-10-24
"HHS Region 8",2015-08-15,"ili perc",0.40949,2015-10-24
"HHS Region 8",2015-08-22,"ili perc",0.388013,2015-10-24
"HHS Region 8",2015-08-29,"ili perc",0.563506,2015-10-24
"HHS Region 8",2015-09-05,"ili perc",0.481207,2015-10-24
"HHS Region 8",2015-09-12,"ili perc",0.457837,2015-10-24
"HHS Region 8",2015-09-19,"ili perc",0.467552,2015-10-24
"HHS Region 8",2015-09-26,"ili perc",0.625008,2015-10-24
"HHS Region 8",2015-10-03,"ili perc",0.499494,2015-10-24
"HHS Region 8",2015-10-10,"ili perc",0.647866,2015-10-24
"HHS Region 8",2015-10-17,"ili perc",0.670036,2015-10-24
"HHS Region 8",2015-10-24,"ili perc",0.692554,2015-10-24
"HHS Region 9",2015-08-01,"ili perc",0.963579,2015-10-24
"HHS Region 9",2015-08-08,"ili perc",0.961579,2015-10-24
"HHS Region 9",2015-08-15,"ili perc",1.07199,2015-10-24
"HHS Region 9",2015-08-22,"ili perc",1.09159,2015-10-24
"HHS Region 9",2015-08-29,"ili perc",1.21581,2015-10-24
"HHS Region 9",2015-09-05,"ili perc",1.17619,2015-10-24
"HHS Region 9",2015-09-12,"ili perc",0.92818,2015-10-24
"HHS Region 9",2015-09-19,"ili perc",1.31729,2015-10-24
"HHS Region 9",2015-09-26,"ili perc",1.31624,2015-10-24
"HHS Region 9",2015-10-03,"ili perc",1.19785,2015-10-24
"HHS Region 9",2015-10-10,"ili perc",1.19229,2015-10-24
"HHS Region 9",2015-10-17,"ili perc",1.35249,2015-10-24
"HHS Region 9",2015-10-24,"ili perc",0.925229,2015-10-24
"HHS Region 10",2015-08-01,"ili perc",0.273285,2015-10-24
"HHS Region 10",2015-08-08,"ili perc",0.277682,2015-10-24
"HHS Region 10",2015-08-15,"ili perc",0.176249,2015-10-24
"HHS Region 10",2015-08-22,"ili perc",0.233461,2015-10-24
"HHS Region 10",2015-08-29,"ili perc",0.129447,2015-10-24
"HHS Region 10",2015-09-05,"ili perc",0.409017,2015-10-24
"HHS Region 10",2015-09-12,"ili perc",0.545922,2015-10-24
"HHS Region 10",2015-09-19,"ili perc",0.500789,2015-10-24
"HHS Region 10",2015-09-26,"ili perc",0.507331,2015-10-24
"HHS Region 10",2015-10-03,"ili perc",0.638896,2015-10-24
"HHS Region 10",2015-10-10,"ili perc",0.444048,2015-10-24
"HHS Region 10",2015-10-17,"ili perc",0.800231,2015-10-24
"HHS Region 10",2015-10-24,"ili perc",0.545792,2015-10-24
"US National",2015-08-01,"ili perc",0.778557,2015-10-31
"US National",2015-08-08,"ili perc",0.788065,2015-10-31
"US National",2015-08-15,"ili perc",0.835725,2015-10-31
"US National",2015-08-22,"ili perc",0.857583,2015-10-31
"US National",2015-08-29,"ili perc",0.863789,2015-10-31
"US National",2015-09-05,"ili perc",0.92465,2015-10-31
"US National",2015-09-12,"ili perc",0.967872,2015-10-31
"US National",2015-09-19,"ili perc",1.09711,2015-10-31
"US National",2015-09-26,"ili perc",1.15614,2015-10-31
"US National",2015-10-03,"ili perc",1.17014,2015-10-31
"US National",2015-10-10,"ili perc",1.27003,2015-10-31
"US National",2015-10-17,"ili perc",1.35609,2015-10-31
"US National",2015-10-24,"ili perc",1.40948,2015-10-31
"US National",2015-10-31,"ili perc",1.35161,2015-10-31
"HHS Region 1",2015-08-01,"ili perc",0.356937,2015-10-31
"HHS Region 1",2015-08-08,"ili perc",0.36071,2015-10-31
"HHS Region 1",2015-08-15,"ili perc",0.384903,2015-10-31
"HHS Region 1",2015-08-22,"ili perc",0.362232,2015-10-31
"HHS Region 1",2015-08-29,"ili perc",0.401994,2015-10-31
"HHS Region 1",2015-09-05,"ili perc",0.381446,2015-10-31
"HHS Region 1",2015-09-12,"ili perc",0.456894,2015-10-31
"HHS Region 1",2015-09-19,"ili perc",0.463827,2015-10-31
"HHS Region 1",2015-09-26,"ili perc",0.402616,2015-10-31
"HHS Region 1",2015-10-03,"ili perc",0.410348,2015-10-31
"HHS Region 1",2015-10-10,"ili perc",0.728695,2015-10-31
"HHS Region 1",2015-10-17,"ili perc",0.648825,2015-10-31
"HHS Region 1",2015-10-24,"ili perc",0.773653,2015-10-31
"HHS Region 1",2015-10-31,"ili perc",0.705205,2015-10-31
"HHS Region 2",2015-08-01,"ili perc",1.36223,2015-10-31
"HHS Region 2",2015-08-08,"ili perc",1.57157,2015-10-31
"HHS Region 2",2015-08-15,"ili perc",1.38907,2015-10-31
"HHS Region 2",2015-08-22,"ili perc",1.11843,2015-10-31
"HHS Region 2",2015-08-29,"ili perc",1.12344,2015-10-31
"HHS Region 2",2015-09-05,"ili perc",1.23609,2015-10-31
"HHS Region 2",2015-09-12,"ili perc",1.19069,2015-10-31
"HHS Region 2",2015-09-19,"ili perc",1.44976,2015-10-31
"HHS Region 2",2015-09-26,"ili perc",1.67527,2015-10-31
"HHS Region 2",2015-10-03,"ili perc",1.38138,2015-10-31
"HHS Region 2",2015-10-10,"ili perc",1.16549,2015-10-31
"HHS Region 2",2015-10-17,"ili perc",1.02294,2015-10-31
"HHS Region 2",2015-10-24,"ili perc",1.41724,2015-10-31
"HHS Region 2",2015-10-31,"ili perc",1.07849,2015-10-31
"HHS Region 3",2015-08-01,"ili perc",0.959529,2015-10-31
"HHS Region 3",2015-08-08,"ili perc",0.890565,2015-10-31
"HHS Region 3",2015-08-15,"ili perc",1.00206,2015-10-31
"HHS Region 3",2015-08-22,"ili perc",0.952584,2015-10-31
"HHS Region 3",2015-08-29,"ili perc",0.81983,2015-10-31
"HHS Region 3",2015-09-05,"ili perc",1.08942,2015-10-31
"HHS Region 3",2015-09-12,"ili perc",1.14302,2015-10-31
"HHS Region 3",2015-09-19,"ili perc",1.19949,2015-10-31
"HHS Region 3",2015-09-26,"ili perc",1.24271,2015-10-31
"HHS Region 3",2015-10-03,"ili perc",1.12201,2015-10-31
"HHS Region 3",2015-10-10,"ili perc",1.16582,2015-10-31
"HHS Region 3",2015-10-17,"ili perc",1.22347,2015-10-31
"HHS Region 3",2015-10-24,"ili perc",1.50116,2015-10-31
"HHS Region 3",2015-10-31,"ili perc",1.53333,2015-10-31
"HHS Region 4",2015-08-01,"ili perc",0.456488,2015-10-31
"HHS Region 4",2015-08-08,"ili perc",0.45738,2015-10-31
"HHS Region 4",2015-08-15,"ili perc",0.715868,2015-10-31
"HHS Region 4",2015-08-22,"ili perc",0.74246,2015-10-31
"HHS Region 4",2015-08-29,"ili perc",0.823904,2015-10-31
"HHS Region 4",2015-09-05,"ili perc",0.74564,2015-10-31
"HHS Region 4",2015-09-12,"ili perc",0.715931,2015-10-31
"HHS Region 4",2015-09-19,"ili perc",0.842332,2015-10-31
"HHS Region 4",2015-09-26,"ili perc",0.762538,2015-10-31
"HHS Region 4",2015-10-03,"ili perc",0.887591,2015-10-31
"HHS Region 4",2015-10-10,"ili perc",1.2009,2015-10-31
"HHS Region 4",2015-10-17,"ili perc",1.28525,2015-10-31
"HHS Region 4",2015-10-24,"ili perc",1.14036,2015-10-31
"HHS Region 4",2015-10-31,"ili perc",1.15263,2015-10-31
"HHS Region 5",2015-08-01,"ili perc",0.581547,2015-10-31
"HHS Region 5",2015-08-08,"ili perc",0.585049,2015-10-31
"HHS Region 5",2015-08-15,"ili perc",0.597183,2015-10-31
"HHS Region 5",2015-08-22,"ili perc",0.581645,2015-10-31
"HHS Region 5",2015-08-29,"ili perc",0.659672,2015-10-31
"HHS Region 5",2015-09-05,"ili perc",0.615018,2015-10-31
"HHS Region 5",2015-09-12,"ili perc",0.653839,2015-10-31
"HHS Region 5",2015-09-19,"ili perc",0.725852,2015-10-31
"HHS Region 5",2015-09-26,"ili perc",0.808302,2015-10-31
"HHS Region 5",2015-10-03,"ili perc",0.86805,2015-10-31
"HHS Region 5",2015-10-10,"ili perc",0.957611,2015-10-31
"HHS Region 5",2015-10-17,"ili perc",1.09497,2015-10-31
"HHS Region 5",2015-10-24,"ili perc",0.979066,2015-10-31
"HHS Region 5",2015-10-31,"ili perc",1.00403,2015-10-31
"HHS Region 6",2015-08-01,"ili perc",1.31115,2015-10-31
"HHS Region 6",2015-08-08,"ili perc",1.23758,2015-10-31
"HHS Region 6",2015-08-15,"ili perc",1.22844,2015-10-31
"HHS Region 6",2015-08-22,"ili perc",1.54875,2015-10-31
"HHS Region 6",2015-08-29,"ili perc",1.3046,2015-10-31
"HHS Region 6",2015-09-05,"ili perc",1.68028,2015-10-31
"HHS Region 6",2015-09-12,"ili perc",2.20774,2015-10-31
"HHS Region 6",2015-09-19,"ili perc",2.14646,2015-10-31
"HHS Region 6",2015-09-26,"ili perc",2.32181,2015-10-31
"HHS Region 6",2015-10-03,"ili perc",2.49805,2015-10-31
"HHS Region 6",2015-10-10,"ili perc",2.86004,2015-10-31
"HHS Region 6",2015-10-17,"ili perc",3.00323,2015-10-31
"HHS Region 6",2015-10-24,"ili perc",3.15066,2015-10-31
"HHS Region 6",2015-10-31,"ili perc",3.26531,2015-10-31
"HHS Region 7",2015-08-01,"ili perc",0.214156,2015-10-31
"HHS Region 7",2015-08-08,"ili perc",0.281667,2015-10-31
"HHS Region 7",2015-08-15,"ili perc",0.116572,2015-10-31
"HHS Region 7",2015-08-22,"ili perc",0.287188,2015-10-31
"HHS Region 7",2015-08-29,"ili perc",0.21827,2015-10-31
"HHS Region 7",2015-09-05,"ili perc",0.181003,2015-10-31
"HHS Region 7",2015-09-12,"ili perc",0.322751,2015-10-31
"HHS Region 7",2015-09-19,"ili perc",0.554689,2015-10-31
"HHS Region 7",2015-09-26,"ili perc",0.775712,2015-10-31
"HHS Region 7",2015-10-03,"ili perc",1.12889,2015-10-31
"HHS Region 7",2015-10-10,"ili perc",0.77687,2015-10-31
"HHS Region 7",2015-10-17,"ili perc",0.92514,2015-10-31
"HHS Region 7",2015-10-24,"ili perc",1.24566,2015-10-31
"HHS Region 7",2015-10-31,"ili perc",0.898888,2015-10-31
"HHS Region 8",2015-08-01,"ili perc",0.469566,2015-10-31
"HHS Region 8",2015-08-08,"ili perc",0.486867,2015-10-31
"HHS Region 8",2015-08-15,"ili perc",0.40949,2015-10-31
"HHS Region 8",2015-08-22,"ili perc",0.388013,2015-10-31
"HHS Region 8",2015-08-29,"ili perc",0.563506,2015-10-31
"HHS Region 8",2015-09-05,"ili perc",0.481207,2015-10-31
"HHS Region 8",2015-09-12,"ili perc",0.457837,2015-10-31
"HHS Region 8",2015-09-19,"ili perc",0.467552,2015-10-31
"HHS Region 8",2015-09-26,"ili perc",0.625008,2015-10-31
"HHS Region 8",2015-10-03,"ili perc",0.499494,2015-10-31
"HHS Region 8",2015-10-10,"ili perc",0.648637,2015-10-31
"HHS Region 8",2015-10-17,"ili perc",0.680509,2015-10-31
"HHS Region 8",2015-10-24,"ili perc",0.709734,2015-10-31
"HHS Region 8",2015-10-31,"ili perc",0.613792,2015-10-31
"HHS Region 9",2015-08-01,"ili perc",0.963579,2015-10-31
"HHS Region 9",2015-08-08,"ili perc",0.961579,2015-10-31
"HHS Region 9",2015-08-15,"ili perc",1.07199,2015-10-31
"HHS Region 9",2015-08-22,"ili perc",1.09159,2015-10-31
"HHS Region 9",2015-08-29,"ili perc",1.21581,2015-10-31
"HHS Region 9",2015-09-05,"ili perc",1.17619,2015-10-31
"HHS Region 9",2015-09-12,"ili perc",0.92818,2015-10-31
"HHS Region 9",2015-09-19,"ili perc",1.31729,2015-10-31
"HHS Region 9",2015-09-26,"ili perc",1.31624,2015-10-31
"HHS Region 9",2015-10-03,"ili perc",1.19785,2015-10-31
"HHS Region 9",2015-10-10,"ili perc",1.19118,2015-10-31
"HHS Region 9",2015-10-17,"ili perc",1.37704,2015-10-31
"HHS Region 9",2015-10-24,"ili perc",1.33987,2015-10-31
"HHS Region 9",2015-10-31,"ili perc",1.13531,2015-10-31
"HHS Region 10",2015-08-01,"ili perc",0.273285,2015-10-31
